model,seed,dataset,metric,value
ohio_state_roberta,1,geco_test,mae_ffd,35.76412807209896
ohio_state_roberta,1,geco_test,mae_gaze,44.17292344972415
ohio_state_roberta,1,geco_test,bias_trt,5.641710099708121
ohio_state_roberta,1,geco_test,bias_ffd,3.841834514241782
ohio_state_roberta,1,geco_test,bias_gaze,3.974700160085632
ohio_state_roberta,1,geco_test,mean_pred_skip,0.5256236513063834
ohio_state_roberta,1,geco_test,mean_human_skip,0.5266514979294474
ohio_state_roberta,1,provo,r_trt,0.6005219550934308
ohio_state_roberta,1,provo,r_ffd,0.2544282560959811
ohio_state_roberta,1,provo,r_gaze,0.5863336832403445
ohio_state_roberta,1,provo,r_skip,0.8630663422432393
ohio_state_roberta,1,provo,mae_trt,45.68268812962874
ohio_state_roberta,1,provo,mae_ffd,18.433803302849473
ohio_state_roberta,1,provo,mae_gaze,31.95445588136792
ohio_state_roberta,1,provo,bias_trt,-16.360761427843386
ohio_state_roberta,1,provo,bias_ffd,6.47636843616101
ohio_state_roberta,1,provo,bias_gaze,-8.31712329881097
ohio_state_roberta,1,provo,mean_pred_skip,0.495824730606257
ohio_state_roberta,1,provo,mean_human_skip,0.44056141672946497
ohio_state_roberta,100,geco_test,r_trt,0.38901004838536446
ohio_state_roberta,100,geco_test,r_ffd,0.1406293655042454
ohio_state_roberta,100,geco_test,r_gaze,0.34179969364968477
ohio_state_roberta,100,geco_test,r_skip,0.7414187260098981
ohio_state_roberta,100,geco_test,mae_trt,62.566981509537165
ohio_state_roberta,100,geco_test,mae_ffd,35.68859229943607
ohio_state_roberta,100,geco_test,mae_gaze,44.24057389166246
ohio_state_roberta,100,geco_test,bias_trt,7.420212768745216
ohio_state_roberta,100,geco_test,bias_ffd,3.0693688723414425
ohio_state_roberta,100,geco_test,bias_gaze,4.453447135622213
ohio_state_roberta,100,geco_test,mean_pred_skip,0.5211461806347144
ohio_state_roberta,100,geco_test,mean_human_skip,0.5266514979294474
ohio_state_roberta,100,provo,r_trt,0.5823269637477173
ohio_state_roberta,100,provo,r_ffd,0.25446391679376235
ohio_state_roberta,100,provo,r_gaze,0.5865026110235542
ohio_state_roberta,100,provo,r_skip,0.8686806995135945
ohio_state_roberta,100,provo,mae_trt,48.005799111733246
ohio_state_roberta,100,provo,mae_ffd,18.24186099337901
ohio_state_roberta,100,provo,mae_gaze,31.94861429643124
ohio_state_roberta,100,provo,bias_trt,-13.252810290188563
ohio_state_roberta,100,provo,bias_ffd,5.681636485365203
ohio_state_roberta,100,provo,bias_gaze,-7.831652580921627
ohio_state_roberta,100,provo,mean_pred_skip,0.48690846140167277
ohio_state_roberta,100,provo,mean_human_skip,0.44056141672946497
ohio_state_roberta,2,geco_test,r_trt,0.40424953426329213
ohio_state_roberta,2,geco_test,r_ffd,0.1403823409792963
ohio_state_roberta,2,geco_test,r_gaze,0.34177614843694687
ohio_state_roberta,2,geco_test,r_skip,0.736906701448621
ohio_state_roberta,2,geco_test,mae_trt,61.98082743657208
